date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,lr,d_model,d_ff,e_layers,dropout,batch_size,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,11:45:03,6,21,LSTM,0.7285,0.8511,0.7006,0.7586,0.0026408158713451366,16,32,3,0.3002558034760724,8,5,0.34,0.26,0.7285,21,0.6946,0.8466,0.6539,0.7406,0.0339,False,OK
2026-07-09,11:58:11,6,46,LSTM,0.7276,0.8556,0.6847,0.7762,0.0027079530191957144,16,512,3,0.24960969007721043,8,5,0.41,0.32,0.7285,21,0.686,0.8482,0.631,0.7515,0.0415,False,OK
2026-07-09,11:39:56,6,12,LSTM,0.7273,0.8505,0.7006,0.756,0.0025745789590896186,48,2,4,0.2585726541792189,8,5,0.37,0.35,0.7273,12,0.6996,0.8458,0.6489,0.7589,0.0277,False,OK
2026-07-09,12:08:55,6,63,LSTM,0.727,0.8534,0.6783,0.7831,0.002873750227313338,16,512,2,0.3398012710704723,8,5,0.55,0.29,0.7285,21,0.6844,0.8487,0.6209,0.7625,0.0425,False,OK
2026-07-09,11:55:08,6,41,LSTM,0.726,0.8454,0.6752,0.7852,0.0020756077448378786,128,32,2,0.2692116946817067,8,5,0.56,0.54,0.7285,21,0.6982,0.8452,0.6387,0.7699,0.0278,False,OK
2026-07-09,12:00:13,6,49,LSTM,0.7249,0.8505,0.7134,0.7368,0.0016405971401276277,16,64,5,0.21504947416534997,8,5,0.36,0.37,0.7285,21,0.6985,0.8448,0.6692,0.7306,0.0264,False,OK
2026-07-09,11:46:37,6,24,LSTM,0.7245,0.8493,0.6783,0.7774,0.0012049485896837569,64,32,3,0.3283590504121105,16,5,0.41,0.31,0.7285,21,0.6889,0.8457,0.631,0.7584,0.0356,False,OK
2026-07-09,11:49:00,6,31,LSTM,0.7243,0.8542,0.6943,0.7569,0.0024976504693165714,128,32,2,0.37072570964566975,8,5,0.3,0.29,0.7285,21,0.693,0.8433,0.6463,0.7471,0.0312,False,OK
2026-07-09,12:22:48,6,90,LSTM,0.724,0.8491,0.7102,0.7384,0.001165831077611797,128,512,4,0.19520560076506666,8,5,0.31,0.29,0.7285,21,0.6971,0.8476,0.6616,0.7365,0.027,False,OK
2026-07-09,12:19:31,6,85,LSTM,0.7235,0.8527,0.6752,0.7794,0.0013220427007001338,128,512,3,0.2585039669934813,8,5,0.38,0.32,0.7285,21,0.6827,0.8472,0.6158,0.7658,0.0409,False,OK
