number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_fixed_params,state
0,0.6537396121883656,2026-07-09 11:34:51.003773,2026-07-09 11:34:51.536315,0 days 00:00:00.532542,10,1,2,100,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}",COMPLETE
1,0.6386066763425254,2026-07-09 11:34:51.537161,2026-07-09 11:34:53.118881,0 days 00:00:01.581720,20,1,2,500,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}",COMPLETE
2,0.6597633136094675,2026-07-09 11:34:53.119727,2026-07-09 11:34:53.872165,0 days 00:00:00.752438,5,5,10,200,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 5}",COMPLETE
3,0.6527570789865872,2026-07-09 11:34:53.872911,2026-07-09 11:34:54.895729,0 days 00:00:01.022818,12,2,5,300,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 2}",COMPLETE
4,0.6537396121883656,2026-07-09 11:34:54.896481,2026-07-09 11:34:55.694715,0 days 00:00:00.798234,20,6,15,218,,COMPLETE
5,0.6597633136094675,2026-07-09 11:34:55.695460,2026-07-09 11:34:56.244792,0 days 00:00:00.549332,4,9,3,120,,COMPLETE
6,0.6610644257703081,2026-07-09 11:34:56.245528,2026-07-09 11:34:57.313646,0 days 00:00:01.068118,15,10,2,321,,COMPLETE
7,0.6582633053221288,2026-07-09 11:34:57.314491,2026-07-09 11:34:58.660770,0 days 00:00:01.346279,6,2,5,425,,COMPLETE
8,0.6537931034482759,2026-07-09 11:34:58.661503,2026-07-09 11:34:59.410336,0 days 00:00:00.748833,11,3,10,187,,COMPLETE
9,0.6497622820919176,2026-07-09 11:34:59.411034,2026-07-09 11:35:00.502771,0 days 00:00:01.091737,4,4,7,325,,COMPLETE
10,0.6601398601398601,2026-07-09 11:35:00.503545,2026-07-09 11:35:01.560567,0 days 00:00:01.057022,13,8,2,313,,COMPLETE
11,0.6610644257703081,2026-07-09 11:35:01.561317,2026-07-09 11:35:02.709531,0 days 00:00:01.148214,15,9,4,354,,COMPLETE
12,0.6610644257703081,2026-07-09 11:35:02.710304,2026-07-09 11:35:04.083953,0 days 00:00:01.373649,17,9,7,439,,COMPLETE
13,0.6601398601398601,2026-07-09 11:35:04.084705,2026-07-09 11:35:04.935348,0 days 00:00:00.850643,18,10,8,233,,COMPLETE
14,0.6601398601398601,2026-07-09 11:35:04.936061,2026-07-09 11:35:06.029609,0 days 00:00:01.093548,20,10,3,330,,COMPLETE
15,0.6581920903954802,2026-07-09 11:35:06.030454,2026-07-09 11:35:07.106224,0 days 00:00:01.075770,6,9,2,323,,COMPLETE
16,0.6610644257703081,2026-07-09 11:35:07.107037,2026-07-09 11:35:08.216029,0 days 00:00:01.108992,11,9,15,340,,COMPLETE
17,0.6610644257703081,2026-07-09 11:35:08.216912,2026-07-09 11:35:08.742409,0 days 00:00:00.525497,13,10,6,104,,COMPLETE
18,0.6610644257703081,2026-07-09 11:35:08.743211,2026-07-09 11:35:10.072946,0 days 00:00:01.329735,11,10,4,427,,COMPLETE
19,0.6582984658298466,2026-07-09 11:35:10.073799,2026-07-09 11:35:11.529330,0 days 00:00:01.455531,11,6,2,454,,COMPLETE
20,0.6546961325966851,2026-07-09 11:35:11.530175,2026-07-09 11:35:12.184037,0 days 00:00:00.653862,20,6,4,145,,COMPLETE
21,0.6610644257703081,2026-07-09 11:35:12.184846,2026-07-09 11:35:13.751068,0 days 00:00:01.566222,19,9,10,491,,COMPLETE
22,0.6546463245492372,2026-07-09 11:35:13.751856,2026-07-09 11:35:15.234820,0 days 00:00:01.482964,18,7,3,482,,COMPLETE
23,0.6610644257703081,2026-07-09 11:35:15.235590,2026-07-09 11:35:16.433335,0 days 00:00:01.197745,15,9,6,372,,COMPLETE
24,0.6556016597510373,2026-07-09 11:35:16.434084,2026-07-09 11:35:17.848529,0 days 00:00:01.414445,14,5,11,453,,COMPLETE
25,0.6610644257703081,2026-07-09 11:35:17.849237,2026-07-09 11:35:18.968603,0 days 00:00:01.119366,16,9,11,342,,COMPLETE
26,0.6601671309192201,2026-07-09 11:35:18.969419,2026-07-09 11:35:20.444053,0 days 00:00:01.474634,8,3,20,483,,COMPLETE
27,0.659217877094972,2026-07-09 11:35:20.444772,2026-07-09 11:35:21.256751,0 days 00:00:00.811979,15,8,5,223,,COMPLETE
28,0.6493108728943339,2026-07-09 11:35:21.257539,2026-07-09 11:35:22.407703,0 days 00:00:01.150164,20,4,6,345,,COMPLETE
29,0.6610644257703081,2026-07-09 11:35:22.408451,2026-07-09 11:35:23.749420,0 days 00:00:01.340969,16,10,5,422,,COMPLETE
30,0.6610644257703081,2026-07-09 11:35:23.750208,2026-07-09 11:35:24.831417,0 days 00:00:01.081209,14,9,2,305,,COMPLETE
