date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,n_estimators,max_depth,min_samples_split,min_samples_leaf,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,10:32:16,4,0,RandomForest,0.6248,0.7707,0.6975,0.5659,100,10,2,1,0.24,0.24,0.6248,0,0.6,0.7551,0.6565,0.5525,0.0248,True,OK
2026-07-09,10:32:17,4,1,RandomForest,0.618,0.752,0.6465,0.5918,500,20,2,1,0.41,0.4,0.6248,0,0.5802,0.7287,0.5802,0.5802,0.0378,True,OK
2026-07-09,10:32:18,4,2,RandomForest,0.6241,0.773,0.6688,0.585,200,5,10,5,0.31,0.39,0.6248,0,0.5882,0.761,0.6107,0.5674,0.0358,True,OK
2026-07-09,10:32:19,4,3,RandomForest,0.6276,0.7668,0.6815,0.5815,300,12,5,2,0.31,0.28,0.6276,3,0.587,0.749,0.6183,0.5586,0.0406,True,OK
2026-07-09,10:32:20,4,4,RandomForest,0.6263,0.7667,0.6752,0.584,218,20,15,6,0.33,0.27,0.6276,3,0.5898,0.7455,0.6183,0.5638,0.0365,False,OK
2026-07-09,10:32:20,4,5,RandomForest,0.6241,0.7717,0.6688,0.585,120,4,3,9,0.32,0.2,0.6276,3,0.5882,0.7565,0.6107,0.5674,0.0358,False,OK
2026-07-09,10:32:22,4,6,RandomForest,0.6259,0.7671,0.6688,0.5882,321,15,2,10,0.36,0.27,0.6276,3,0.5882,0.7464,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:32:23,4,7,RandomForest,0.6259,0.774,0.6688,0.5882,425,6,5,2,0.32,0.26,0.6276,3,0.5882,0.763,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:32:24,4,8,RandomForest,0.6298,0.7692,0.707,0.5678,187,11,10,3,0.26,0.26,0.6298,8,0.5986,0.7546,0.6565,0.5501,0.0312,False,OK
2026-07-09,10:32:25,4,9,RandomForest,0.6241,0.7724,0.6688,0.585,325,4,7,4,0.32,0.2,0.6298,8,0.5882,0.759,0.6107,0.5674,0.0358,False,OK
