date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,lr,d_model,n_heads,d_ff,e_layers,dropout,batch_size,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,13:44:52,16,51,Transformer,0.757,0.8728,0.7293,0.7869,0.00018023685797763828,128,8,256,3,0.37144521720730617,16,5,0.51,0.38,0.757,51,0.7149,0.8699,0.6667,0.7706,0.0422,False,OK
2026-07-09,14:28:25,16,94,Transformer,0.755,0.8709,0.7261,0.7862,0.00014907451723088075,48,2,64,5,0.30977915622648083,8,5,0.49,0.29,0.757,51,0.707,0.8657,0.6539,0.7695,0.048,False,OK
2026-07-09,13:39:54,16,46,Transformer,0.755,0.8687,0.7166,0.7979,0.0005578674993167114,32,8,64,3,0.3796874193418624,8,5,0.51,0.32,0.755,46,0.7001,0.8609,0.6387,0.7747,0.0549,False,OK
2026-07-09,13:50:07,16,59,Transformer,0.755,0.8718,0.7261,0.7862,0.0009817864073247658,32,16,16,2,0.3154562545807519,8,5,0.42,0.4,0.757,51,0.7112,0.8618,0.6641,0.7654,0.0438,False,OK
2026-07-09,13:57:35,16,66,Transformer,0.7542,0.8706,0.7229,0.7882,0.00035189608694974063,48,2,64,4,0.29075473614822767,8,4,0.6,0.26,0.757,51,0.7114,0.8631,0.6616,0.7692,0.0428,False,OK
2026-07-09,14:03:20,16,72,Transformer,0.7534,0.8667,0.7102,0.8022,0.000998307065505562,32,4,16,2,0.3596405199231637,8,4,0.51,0.24,0.757,51,0.6992,0.8646,0.6387,0.7723,0.0542,False,OK
2026-07-09,13:54:12,16,62,Transformer,0.7529,0.8702,0.7229,0.7855,0.0004791988762179631,48,8,64,4,0.3293254879791103,8,5,0.41,0.3,0.757,51,0.7096,0.8616,0.659,0.7685,0.0433,False,OK
2026-07-09,13:45:26,16,52,Transformer,0.7529,0.8709,0.7229,0.7855,0.00026857176199782205,64,8,256,2,0.2652517785410621,16,4,0.42,0.21,0.757,51,0.7127,0.8656,0.6565,0.7795,0.0402,False,OK
2026-07-09,12:43:04,16,2,Transformer,0.7521,0.8678,0.7006,0.8118,0.0001,32,8,32,2,0.1,8,3,0.52,0.41,0.7521,2,0.691,0.8642,0.626,0.7712,0.0611,True,OK
2026-07-09,13:00:20,16,18,Transformer,0.7521,0.8695,0.7197,0.7875,0.00013453645024931357,64,8,128,6,0.3808375405264824,8,5,0.35,0.2,0.7521,2,0.7147,0.8674,0.6692,0.7668,0.0374,False,OK
