date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,actual_trees,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,10:34:10,4,0,XGBoost,0.6265,0.771,0.6783,0.582,100,6,0.1,1.0,1.0,1,0.0,29,3,0.29,0.39,0.6265,0,0.587,0.757,0.6183,0.5586,0.0395,True,OK
2026-07-09,10:34:11,4,1,XGBoost,0.6259,0.7711,0.6688,0.5882,500,4,0.01,0.8,0.8,3,0.1,282,3,0.32,0.26,0.6265,0,0.5882,0.7599,0.6107,0.5674,0.0377,True,OK
2026-07-09,10:34:11,4,2,XGBoost,0.6232,0.7666,0.6847,0.5718,50,8,0.3,0.7,0.7,1,0.0,9,3,0.3,0.35,0.6265,0,0.5857,0.7486,0.626,0.5503,0.0375,True,OK
2026-07-09,10:34:11,4,3,XGBoost,0.625,0.7753,0.6688,0.5866,300,3,0.05,0.6,0.6,5,0.5,78,3,0.31,0.27,0.6265,0,0.5882,0.7635,0.6107,0.5674,0.0368,True,OK
2026-07-09,10:34:12,4,4,XGBoost,0.6285,0.7687,0.6465,0.6114,218,20,0.06504856968981275,0.7993292420985183,0.5780093202212182,2,0.05808361216819946,43,5,0.43,0.41,0.6285,4,0.5923,0.7495,0.5878,0.5969,0.0362,False,OK
2026-07-09,10:34:15,4,5,XGBoost,0.6277,0.7677,0.6847,0.5795,321,15,0.001124579825911934,0.9849549260809971,0.9162213204002109,3,0.18182496720710062,320,2,0.33,0.34,0.6285,4,0.5906,0.7415,0.626,0.5591,0.0371,False,OK
2026-07-09,10:34:16,4,6,XGBoost,0.6263,0.7657,0.6752,0.584,187,11,0.01174843954800703,0.645614570099021,0.8059264473611898,2,0.29214464853521815,186,3,0.35,0.29,0.6285,4,0.5867,0.7471,0.6158,0.5602,0.0396,False,OK
2026-07-09,10:34:17,4,7,XGBoost,0.6314,0.771,0.6847,0.5858,255,16,0.003123317753376431,0.7571172192068059,0.7962072844310213,1,0.6075448519014384,254,2,0.33,0.38,0.6314,7,0.5897,0.7505,0.6234,0.5594,0.0418,False,OK
2026-07-09,10:34:17,4,8,XGBoost,0.6212,0.7619,0.6815,0.5707,79,20,0.24659691172104828,0.9041986740582306,0.6523068845866853,1,0.6842330265121569,9,3,0.34,0.45,0.6314,7,0.585,0.7495,0.626,0.5491,0.0362,False,OK
2026-07-09,10:34:17,4,9,XGBoost,0.6211,0.7691,0.6943,0.5619,105,11,0.0012167028814593455,0.954660201039391,0.6293899908000085,7,0.31171107608941095,104,4,0.32,0.32,0.6314,7,0.5976,0.7523,0.6463,0.5558,0.0234,False,OK
2026-07-09,10:34:18,4,10,XGBoost,0.6272,0.7691,0.6752,0.5856,385,9,0.007485762113667508,0.6476613760768839,0.8392599136842959,2,0.9820295107782193,276,2,0.34,0.27,0.6314,7,0.5864,0.7524,0.6132,0.5618,0.0408,False,OK
2026-07-09,10:34:18,4,11,XGBoost,0.6206,0.7625,0.6433,0.5994,322,16,0.05319151004361627,0.7748091687724276,0.6379928981524459,1,0.1413125351723752,45,5,0.41,0.42,0.6314,7,0.5934,0.7433,0.5903,0.5964,0.0272,False,OK
2026-07-09,10:34:19,4,12,XGBoost,0.6291,0.7725,0.6752,0.5889,225,19,0.19739737649446037,0.7810705229236253,0.5151687304541452,5,0.17300341242800232,14,4,0.34,0.26,0.6314,7,0.5885,0.7495,0.6132,0.5657,0.0406,False,OK
2026-07-09,10:34:19,4,13,XGBoost,0.6283,0.7643,0.6783,0.5852,261,19,0.19834780141551392,0.8550719350504232,0.6287744717844188,6,0.43860332555484843,15,4,0.33,0.46,0.6314,7,0.5877,0.7476,0.6183,0.5599,0.0407,False,OK
2026-07-09,10:34:20,4,14,XGBoost,0.6229,0.7715,0.6943,0.5648,359,18,0.0011894795519703045,0.8115309643539689,0.7532842956845496,3,0.6067045391479273,358,3,0.31,0.3,0.6314,7,0.5942,0.7502,0.6463,0.5498,0.0287,False,OK
